ocid,character_name,date,ability_set,ability_grade,ability_grade1,ability_value1,ability_grade2,ability_value2,ability_grade3,ability_value3
3b42c6b58d1c68f3789965307fc90688efe8d04e6d233bd35cf2fabdeb93fb0d,조용눈,2025-10-29T00:00+09:00,current,레전드리,레전드리,아이템 드롭률 20% 증가,유니크,메소 획득량 15% 증가,유니크,일반 몬스터 공격 시 데미지 7% 증가
3b42c6b58d1c68f3789965307fc90688efe8d04e6d233bd35cf2fabdeb93fb0d,조용눈,2025-10-29T00:00+09:00,preset1,레전드리,레전드리,아이템 드롭률 20% 증가,유니크,메소 획득량 15% 증가,유니크,일반 몬스터 공격 시 데미지 7% 증가
3b42c6b58d1c68f3789965307fc90688efe8d04e6d233bd35cf2fabdeb93fb0d,조용눈,2025-10-29T00:00+09:00,preset2,레전드리,레전드리,보스 몬스터 공격 시 데미지 20% 증가,유니크,상태 이상에 걸린 대상 공격 시 데미지 8% 증가,유니크,공격력 18 증가
3b42c6b58d1c68f3789965307fc90688efe8d04e6d233bd35cf2fabdeb93fb0d,조용눈,2025-10-29T00:00+09:00,preset3,에픽,에픽,모든 능력치 15 증가,레어,모든 능력치 5 증가,레어,모든 능력치 5 증가
