date,ocid,character_name,use_available_hyper_stat,preset_no,remain_point,DEX_increase,DEX_level,DEX_point,DF_TF_increase,DF_TF_level,DF_TF_point,HP_increase,HP_level,HP_point,INT_increase,INT_level,INT_point,LUK_increase,LUK_level,LUK_point,MP_increase,MP_level,MP_point,STR_increase,STR_level,STR_point,공격력_마력_increase,공격력_마력_level,공격력_마력_point,데미지_increase,데미지_level,데미지_point,방어율_무시_increase,방어율_무시_level,방어율_무시_point,보스_몬스터_공격_시_데미지_증가_increase,보스_몬스터_공격_시_데미지_증가_level,보스_몬스터_공격_시_데미지_증가_point,상태_이상_내성_increase,상태_이상_내성_level,상태_이상_내성_point,아케인포스_increase,아케인포스_level,아케인포스_point,일반_몬스터_공격_시_데미지_증가_increase,일반_몬스터_공격_시_데미지_증가_level,일반_몬스터_공격_시_데미지_증가_point,크리티컬_데미지_increase,크리티컬_데미지_level,크리티컬_데미지_point,크리티컬_확률_increase,크리티컬_확률_level,크리티컬_확률_point,획득_경험치_increase,획득_경험치_level,획득_경험치_point
2025-10-29T00:00+09:00,3b42c6b58d1c68f3789965307fc90688efe8d04e6d233bd35cf2fabdeb93fb0d,조용눈,1500,1,18,민첩성 60 증가,2,3,,0,,,0,,,0,,,0,,,0,,힘 90 증가,3,7,공격력과 마력 15 증가,5,25,데미지 39% 증가,13,345,방어율 무시 9% 증가,3,7,,0,,,0,,,0,,일반 몬스터 공격 시 데미지 47% 증가,13,345,크리티컬 데미지 11% 증가,11,200,,0,,획득 경험치 10.0% 증가,15,550
2025-10-29T00:00+09:00,3b42c6b58d1c68f3789965307fc90688efe8d04e6d233bd35cf2fabdeb93fb0d,조용눈,1500,2,1,민첩성 90 증가,3,7,,0,,,0,,,0,,,0,,,0,,힘 150 증가,5,25,공격력과 마력 18 증가,6,40,데미지 39% 증가,13,345,방어율 무시 24% 증가,8,85,보스 몬스터 공격 시 데미지 55% 증가,15,550,,0,,,0,,,0,,크리티컬 데미지 14% 증가,14,440,크리티컬 확률 3% 증가,3,7,,0,
2025-10-29T00:00+09:00,3b42c6b58d1c68f3789965307fc90688efe8d04e6d233bd35cf2fabdeb93fb0d,조용눈,1500,3,17,민첩성 30 증가,1,1,,0,,,0,,,0,,,0,,,0,,힘 150 증가,5,25,공격력과 마력 18 증가,6,40,데미지 33% 증가,11,200,방어율 무시 27% 증가,9,115,보스 몬스터 공격 시 데미지 47% 증가,13,345,,0,,아케인포스 100 증가,15,550,,0,,크리티컬 데미지 11% 증가,11,200,크리티컬 확률 3% 증가,3,7,,0,
